id	lat	lng	households	buildDate	score	m2	p	min_sales	max_sales	avg_sales
17868	37.50600425	126.9438262	415	200712	4.5	76	23	52500	64500	61000
19179	37.50463448	126.943325	190	201003	4.1	112	34	57000	96000	60000
33356	37.50400162	126.9430008	582	201601	4.1	83	25	40800	66200	60500
5396	37.50750016	126.9443453	1696	200102	3.9	85	26	37300	60800	49500
18411	37.50999382	126.9436648	299	201008	4.3	79	24	54300	63700	58500
6291	37.50152884	126.9316427	389	200311	4.1	80	24	42900	60400	50500
3984	37.51269359	126.9307729	514	199408	4	77	23	37900	45500	44500
16686	37.5024579	126.94205	1122	200709	4	79	24	52700	93600	65000
23664	37.5120808	126.942428	32	197811	0	80	24	30000	30000	30000
6100	37.51204386	126.9290814	609	200306	4.3	105	32	64600	64600	64500
24947	37.50259106	126.9434532	138	201404	4.2	84	25	54000	142000	62500
18068	37.5029267	126.9444211	162	200810	4.9	95	29	50000	61500	61000
9894	37.51092795	126.9451345	175	200107	4.1	83	25	38500	42400	40500
645	37.509594	126.926159	487	199401	4.1	103	31	60500	60500	60500
6271	37.50075265	126.9427037	400	200404	3.8	107	32	50400	78100	55500
921	37.51421385	126.9297037	206	199901	3.4	83	25	35300	48600	43500
204	37.5074173	126.924915	1628	199311	4.3	84	25	42500	88600	61500
3761	37.51415909	126.9285365	90	199705	3	76	23	34200	55500	44000
14449	37.51145793	126.9257023	163	200603	4.6	103	31	63900	67700	66500
15399	37.5138413	126.9274871	130	200511	4.3	79	24	46700	63900	48500
872	37.50962811	126.9478047	901	199712	3.5	83	25	38200	63800	52000
37752	37.5051186	126.947941	893	201812	4.6	84	25	59100	77000	71000
5401	37.5077326	126.948272	73	200108	4.5	101	31	50300	50300	50500
58360	37.49995672	126.9276397	60	201112	0	22	7	13000	13000	13000
6174	37.5175491	126.9323385	282	200210	4.4	45	14	27500	172000	113000
6219	37.50540487	126.9493277	78	200310	5	157	47	69100	84300	74500
51426	37.5005354	126.94668	950	202102	0	80	24	75000	130000	89000
7964	37.50716782	126.9497757	1376	199709	4.1	48	15	22800	55900	36000
